claim_id,paper_id,claim_type,construct,population,unit,data,method,baseline,metric,result,locator,evidence_label,limitations,transferability,confidence
"R4-0907-01","arxiv:2503.07928","nearest_work","incremental outcome association","203 upper-division students","student assessment","StudyChat","nested linear regression","prior assessment mean","R2 and F tests","Already adds total utterances and broad/fine dialogue acts; reported limitations include overfitting or limited power","v4 §4.1","EVIDENCE","not evidence of strict out-of-student prediction beyond code/tests","Must replicate and strengthen comparator","high"
"R4-0907-02","arxiv:2503.07928","data_access","longitudinal evidence","course participants","dialogue / submission","HF StudyChat v1.1","dataset card","NA","NA","Gated files; identity timestamps topic semester and grades described","Dataset card access notice / Updates / Dataset Contents","EVIDENCE","File-level joins and download version unverified","first core candidate audit","high"
"R4-0907-03","10.18653/v1/2025.acl-long.1343","nearest_work","student questions beyond code","Elice programming learners","next problem","SQKT","question/code/skill fusion","PKT baselines","AUC","Already combines historical code and student questions to predict subsequent problems","PDF pp.1–3 Figure 1 §3","EVIDENCE","student-educator questions differ from AI co-production; open code is not confirmed open data","question-only comparator required","high"
"R4-0907-04","arxiv:2608.26184","construct_boundary","observable behavior","introductory Python","short session","TutorTrace","telemetry / behavior taxonomy","simple features","help-seeking prediction","Not semester-long; paper 480 learners / four deployments differs from website 664 / eight","v1 Abstract Table 1 §9; official dataset page The Dataset","EVIDENCE","version mismatch; category construction partly informed by completion; cannot use completion as independent taxonomy validation","process audit only until independent labels","high"
"R4-0907-05","10.18653/v1/2026.bea-1.43","nearest_work","dialogue response correctness","math tutoring","dialogue turn","QATD2k / MathDial","LLM and IRT","LLMKT and deep KT","correctness prediction","Models difficulty and ability; uses LLM-generated correctness/KC labels","PDF §4.1 pp.4–5","EVIDENCE","MathDial simulated students; not independent programming learning labels","method neighbor not core data","high"
"R4-0907-06","10.18653/v1/2025.findings-acl.642","nearest_work","tutor effectiveness","controlled student simulation","coding dialogue","DICT","TRAVER","tutoring agents","code generation tests","Uses knowledge tracing with turn verification and controlled simulation","PDF Abstract p.1","EVIDENCE","simulated learner is not real independent ability","prevents broad first-AI-KT claim","high"
"R4-0907-07","arxiv:2601.20245","counterevidence","skill formation","52 experienced Python participants","participant","Trio randomized experiment","AI access assignment","no AI","unaided quiz","Study reports worse skill quiz performance in AI arm; interaction pattern comparison exploratory","v1 §4.3 §5.2 Appendix B","EVIDENCE","one library short exposure; behavioral categories not randomized","independent test design reference","medium"
"R4-0907-08","10.1016/j.caeai.2025.100537","construct_boundary","performance versus learning","275 analyzed CS1 participants","participant","three-arm concurrency experiment","Iris / ChatGPT / control","no AI","exercise and knowledge tests","Institutional abstract reports better exercise scores without greater measured learning gains","TUM institutional record Abstract Methods/Results","EVIDENCE","publisher full text unavailable this pass; short task; absence of significance is not equivalence","use independent assessments; no universal harm claim","medium"
"R4-0907-09","10.5281/zenodo.20285307","artifact_access","independent assessment","participant-level","participant","Bassner reproducibility package","R scripts and study data","NA","NA","API lists merged_data_pseudonymized.csv; README removes Iris text and uses has_iris_messages","Zenodo API files and metadata; README Contents/Notes","EVIDENCE","not downloaded or executed; README shipped cleaned_data.csv claim not matched by API list","measurement pilot rather than dialogue KT","high"
"R4-0907-10","repo:umass-ml4ed/progFeed-dataset-public","design_boundary","feedback delivery","215 consented students","graded function/test per submission","ProgFeed 17385 rows","lab-dependent assignment","no_feedback","test scores","Randomized labs 05/06/07/09; assigned arm differs from feedback delivery","README Study design/Caveats; DATA_DICTIONARY","EVIDENCE","selection on failing submissions if grouping by actual delivery; no confirmed unaided exam","fallback feedback study; reconstruct submission units","high"
"R4-0907-11","arxiv:2604.10400","nearest_work","prompt trajectories","163 students","assignment","prompt/code comparison","trajectory analysis","NA","assignment/course outcomes","Already studies delegation iterative refinement and comparison of generated and submitted code","v1 Abstract","EVIDENCE","one assignment; does not establish longitudinal independent ability","behavior taxonomy alone has novelty overlap","medium"
"R4-0907-12","arxiv:2410.10829","dataset_role","test-aware programming prediction","CodeWorkout learners","submission/test","TIKTOC","replayed tests","code/outcome baseline","test correctness","17 of 50 problems have full test IO; first/all submissions provided","Official README Setup/Data","EVIDENCE","No AI; source license and data subset need freeze","pipeline rehearsal only","high"

