dataset,category,scale_and_scope,traditional_pkt_signals,ai_interaction_signals,external_outcomes,access_status,recommended_role,fit_level,key_limitations
本地多平台数据,本地纵向教育数据,最新事件流9678行/575人；代码事件411人；AI事件326人；代码与AI交集168人,题目/正确性/部分代码/诊断/作业考试可关联，但字段分散且KC缺失严重,会话文本、主动式助教、L1-L4调用；缺采纳/拒绝/代码diff/测试验证链,作业题与两次考试；是否严格无AI尚待课程政策确认,本地可访问，需治理与重新导出,回顾性增量预测主试验与本地迁移验证；修复后使用,中高（修复后）,班级全缺失；AI会话与任务无外键；消息被聚合；自选择使用；PII和硬编码凭据风险
CodeWorkout / CSEDM 2021,Programming KT,Spring/Fall 2019；50道Java题；两个学期均65K+提交,稳定学生序列、代码快照、题目、单元测试得分、编译消息、最终成绩,无,最后20题与最终成绩,官方挑战页/DataShop；当前下载可能需账户,复现DKT/AKT/Code-DKT/OKT与构建code-aware基线,高（基线）,无AI；课程/语言单一；不同论文使用的子集与首提交流程需严格版本化
TIKTOC增强CodeWorkout,Granular PKT,50题中17题具有完整测试输入输出；提供first/all submissions两版,代码、总体得分、test-case级通过标签,无,未来提交/测试级结果,官方GitHub公开,test-aware基线、细粒度目标与消融,高（基线）,仅17题；由重放学生代码生成测试标签；仍不能回答AI交互问题
BePKT,Programming KT,OJ学习轨迹；问题文本、KC、代码与系统事件,问题/KC/代码/事件序列较完整,无,后续OJ表现,论文给出Google Drive；文档与版本稳定性一般,异构PKT外部基线、KC与代码融合参考,中高（基线）,无AI；公开版本/预处理统计不一致；独立学习效标有限
FalconCode,大规模学生代码,150万+ Python程序、2000+本科生、800+作业、五学期,题目、代码、运行/测试、技能元数据；多次提交可用于代码表征,无,课程内成绩/运行结果（具体字段依授权版本）,官方数据通常按研究申请；存在公开处理镜像,代码编码器预训练/外部泛化与程序修复基准,中（辅助）,访问与版本差异；不是为AI-aware KT设计；课程划分可能混合任务/学期效应
CodeStream,迭代提交过程数据,5482次提交、202人、46题、C/C++/Java,代码、attempt order、最终verdict、逐测试顺序轨迹、题目与测试,无,下一尝试/纠错结果,Mendeley Data，开放许可,调试/纠错过程基线和跨语言小型外部验证,中高（辅助）,规模较小；缺KC、AI与独立能力效标
ProgSnap2目录与规范,数据规范/目录,不是单一数据集；统一事件、代码状态、链接表与资源表示,依具体数据集而定，适合表达IDE事件和代码状态,规范可扩展AI消息与provenance,依具体数据集而定,规范与部分目录公开，个别数据需申请,本地canonical schema与跨数据集适配层,高（工程规范）,不能直接作为实验数据；目录中资源开放程度不一致
TutorTrace,AI辅助编程遥测,官网664人/8部署/882367事件；arXiv2608.26184v1为480人/4部署/约180K事件；版本差异未解释,代码编辑、终端运行、错误、测试、上下文、30+事件类型,查询/响应、帮助寻求、行为状态、时间窗特征,会话内测试/错误/状态及问卷；长期能力有限,uist分支文档可见；datasheet许可与脱敏等待确认，未下载学生记录,方法/schema参考；许可与用途明确后再考虑过程分析,条件性；非就绪训练集,短任务，非长期轨迹；模型标签非能力真值；datasheet排除个体画像用途；官网和论文人数差异未完全解释
StudyChat,学生LLM对话+作业,v4论文203人/2214段对话/16851次交互；代码共享子集158人/924份提交；旧1197段不作当前口径,作业主题、提交与得分,完整多轮prompt/response、时间戳、对话行为标签,论文图3区分LLM作业与No-LLM考试；可联结结果与具体实施细节待文件核验,2026-09-07数据卡可读；文件受门控需登录/接受联系信息共享条件；CC BY4.0；未下载,优先审查跨作业对话/代码/结果联结和AI工具条件；后续AI辅助表现为主，无AI考试非唯一门槛,条件性高；尚非已就绪核心集,§4.1已比较次数与对话行为；新颖性重叠；无完整IDE采纳验证链；代码/测试基线齐备程度待审计
CodeAid公开问题集,课堂AI助教对话,公开6776条学生问题；原研究300名同意学生/7003次使用记录,部分问题附代码/错误文本,问题类型、功能入口、响应/有用性（公开版本字段需核验）,论文有调查和访谈；公开集通常不含完整成绩轨迹,Hugging Face/论文补充材料公开,interaction taxonomy和prompt分类辅助数据,中（辅助）,公开集以问题为主，缺可重建代码轨迹与稳定能力标签
ProgFeed,随机反馈干预数据,字典17385函数/测试级行、215人；不是17385独立提交,逐提交代码、自动评分、测试与反馈文本,AI生成反馈而非自由coding assistant交互,后续提交、入/退出问卷,GitHub公开，CC BY 4.0,反馈后修正过程或随机分配反馈研究备用；独立迁移未确认,高（因果辅助）,仅lab05/06/07/09说明随机分配；条件分配与实际展示不同；反馈仅失败时触发；不可按实际接收直接作因果分组
RECAP,采集平台/小规模部署,41名学生、2034 prompts、8239代码编辑、多周项目,细粒度代码编辑、shadow Git、项目时间线,Copilot chat、prompt与AI生成编辑归因,项目内行为；公开论文未确认可下载原始学生数据,平台开源；原始部署数据公开性未确认,直接借鉴自采日志schema与回放/归因实现,高（采集方案）,目前更像采集工具而非可直接复用的公开数据集；样本小且需治理
DevGPT,开发者公开对话,多期快照；GitHub issue/PR/discussion/commit/code file与公开ChatGPT分享链接,GitHub工件与部分代码上下文,多轮开发者-ChatGPT对话,合并/提交等开发结果但非学习效标,GitHub与Zenodo公开,开发者prompt taxonomy、代码对话外部语料,低（核心）/中（辅助）,公开分享强选择偏差；无课程、KC、稳定学习者状态和无AI迁移结果
Blackbox / Blackbox Mini,大规模IDE过程数据,BlueJ Java编辑、编译、运行、工具使用与代码；历史规模巨大,细粒度过程强,不直接记录AI来源,缺任务意图、课程/成绩等上下文,官方称2026年1月停止，2026年8月撤销既有访问,不纳入当前可执行方案；仅作为文献参照,低（当前）,当前不可获得；上下文弱；无法识别AI使用；自愿opt-in偏差
Project CodeNet,大规模OJ代码语料,1400万+代码样本、约5亿行、55种语言,题目、提交状态、语言、样例测试；适合代码表示,无,判题结果而非学习效标,IBM公开,代码表示预训练或鲁棒性测试,低（核心）/中（预训练）,不是教育纵向数据；缺稳定课程/KC/学习者轨迹和AI交互
EdNet / ASSISTments,通用KT,EdNet 78万+用户；ASSISTments为经典数学练习序列,题目、正确性、KC、时间/行为（依版本）,无编程AI交互,通用学习结果,公开/协议可得,仅用于实现sanity check和KT管线回归测试,低（核心）,非编程、无代码、无AI，不能支撑研究主张
Bassner等课堂试验公开包,三组随机试验/测量,机构论文275人分析；README称452原始参与者经排除,前测、任务分数、后测与理解题；单次实验,Iris消息内容已移除；有消息存在标记,知识前后测与代码理解；不含长程KT,2026-09-07 Zenodo API记录20285307列出原始CSV与脚本；open/CC BY4.0；未下载运行,任务表现与学习测量重分析/设计参考,高（测量）；低（语义KT）,短期单任务；排除标准敏感性需检查；不证明延迟迁移；README所称清洗表未在API列出
How AI Impacts Skill Formation,随机技能形成试验,主试验52人；不同pilot不并入主试验,Trio任务和行为标注,标注的交互/复制/错误等行为记录,论文有无AI测验；仓库完整可联结结果表未核验,官方GitHub任务和标注目录可见；数据许可和结果联结待核验,行为编码和独立验证题设计,中（设计）；待核验（预测）,成人Python开发者、小样本、短期；使用模式非随机
SQKT / Elice,学生提问PKT近邻,多门Python课程；实际开放数据未核验,问题/提交/分数,学生与教育者提问回答，不等同AI协作日志,下一题表现,官方代码和schema公开；不推定原始Elice数据公开,最近邻和question-only方法对照,高（方法近邻）,GitHub树API限流；许可与数据获取待核验；非核心AI数据
